sentence	label
This is a test sentence 0.	0
This is a test sentence 1.	1
This is a test sentence 2.	0
This is a test sentence 3.	0
This is a test sentence 4.	0
This is a test sentence 5.	1
This is a test sentence 6.	0
This is a test sentence 7.	0
This is a test sentence 8.	0
This is a test sentence 9.	1
This is a test sentence 10.	0
This is a test sentence 11.	0
This is a test sentence 12.	0
This is a test sentence 13.	0
This is a test sentence 14.	1
This is a test sentence 15.	0
This is a test sentence 16.	1
This is a test sentence 17.	1
This is a test sentence 18.	1
This is a test sentence 19.	0
This is a test sentence 20.	1
This is a test sentence 21.	0
This is a test sentence 22.	1
This is a test sentence 23.	1
This is a test sentence 24.	1
This is a test sentence 25.	1
This is a test sentence 26.	1
This is a test sentence 27.	1
This is a test sentence 28.	1
This is a test sentence 29.	1
This is a test sentence 30.	0
This is a test sentence 31.	0
This is a test sentence 32.	1
This is a test sentence 33.	1
This is a test sentence 34.	1
This is a test sentence 35.	0
This is a test sentence 36.	1
This is a test sentence 37.	0
This is a test sentence 38.	0
This is a test sentence 39.	0
This is a test sentence 40.	0
This is a test sentence 41.	0
This is a test sentence 42.	1
This is a test sentence 43.	1
This is a test sentence 44.	1
This is a test sentence 45.	1
This is a test sentence 46.	1
This is a test sentence 47.	0
This is a test sentence 48.	1
This is a test sentence 49.	1
This is a test sentence 50.	0
This is a test sentence 51.	1
This is a test sentence 52.	0
This is a test sentence 53.	1
This is a test sentence 54.	0
This is a test sentence 55.	1
This is a test sentence 56.	1
This is a test sentence 57.	0
This is a test sentence 58.	0
This is a test sentence 59.	0
This is a test sentence 60.	0
This is a test sentence 61.	0
This is a test sentence 62.	0
This is a test sentence 63.	0
This is a test sentence 64.	0
This is a test sentence 65.	1
This is a test sentence 66.	1
This is a test sentence 67.	0
This is a test sentence 68.	1
This is a test sentence 69.	1
This is a test sentence 70.	1
This is a test sentence 71.	1
This is a test sentence 72.	0
This is a test sentence 73.	1
This is a test sentence 74.	0
This is a test sentence 75.	1
This is a test sentence 76.	1
This is a test sentence 77.	1
This is a test sentence 78.	0
This is a test sentence 79.	1
This is a test sentence 80.	0
This is a test sentence 81.	1
This is a test sentence 82.	0
This is a test sentence 83.	1
This is a test sentence 84.	0
This is a test sentence 85.	0
This is a test sentence 86.	1
This is a test sentence 87.	0
This is a test sentence 88.	1
This is a test sentence 89.	1
This is a test sentence 90.	1
This is a test sentence 91.	1
This is a test sentence 92.	1
This is a test sentence 93.	1
This is a test sentence 94.	1
This is a test sentence 95.	1
This is a test sentence 96.	1
This is a test sentence 97.	1
This is a test sentence 98.	1
This is a test sentence 99.	0
